,Resume
0,"['Accounting', 'Presentations', 'Writing', 'Reports', 'Analysis', 'Financial statements', 'Banking', 'Engineering', 'Research', 'Forecasts']['June 2007 – Till date', 'Noble Group/Clear Capital, Mumbai', 'Equity research analyst  at Noble  Group,  a UK-based investment  bank specializing in small and mid-cap', 'equities. Noble’s clients include some of the UK’s top institutional investors such as Scottish Widows, Fidelity,', 'Gartmore, Aberforth, and L&G.', '\uf0a7 Held   joint   responsibility   with   the   team   leader   for   analysing   the   UK   Support   Services   sector,   which', 'encompasses a wide array of business models like equipment rental, accident management, social housing', 'and engineering consultancy.', 'Involved in  all stages of equity research, starting with company meetings and developing sophisticated', 'earning models and ending with writing research notes and servicing clients through roadshows, meetings,', 'and ad-hoc projects.', '\uf0a7', '\uf0a7 Prepared  thematic   industry   notes  on   the   UK   rental   industry   and   the   engineering   consultants   market,', 'highlighting key growth drivers, and identifying top sector picks.', '\uf0a7 Authored five initiation reports, with name duly accorded on their front page.', '\uf0a7', 'Involved with  forensic examination  of financial statements of accident management and vehicle rental', 'companies, with particular emphasis on their operating and financial leverage.', 'Irevna Research Services (subsidiary of S&P), Chennai', 'Oct 2005 – May 2007', 'Offshore  equity   research   associate  responsible   for   fundamental   research   of   European   Household   and', 'Personal Care sector for a bulge bracket investment-banking firm', '\uf0a7 Built  financial   models  for   companies.   Responsible   for   populating   historical   financial   data,   making', 'accounting adjustments, ratio and trend analysis, and preparing forecasts of revenues and profitability.', '\uf0a7 Prepared Industry presentations for the companies under coverage universe.', '\uf0a7 Authored First Call notes for companies under coverage post quarterly earnings and key catalyst events.', 'APPRENTICE', 'Lochan & Co, New Delhi', 'P. K, Narula & Co, New Delhi', '\uf0a7 Conducted internal and statutory audits in different sectors.', '\uf0a7 Finalized accounts, prepared balance sheets, and filed returns of income.', 'Apr 2003 – Aug 2005', 'Aug 2002 - Mar 2003']"
1,"['Python', 'Testing', 'Windows', 'Javascript', 'Analysis', 'Linux', 'Programming', 'C', 'Html', 'Engineering', 'Java', 'Computer science', 'Matlab', 'Email', 'Php', 'Instrumentation']['KHARAGPUR', 'Degree/Certificate \nB.Tech in Computer \nScience and \nEngineering']"
2,"['Analysis', 'Queries', 'Sql', 'C#', 'C', 'Engineering', 'Research', 'Architecture', 'Sql server', 'Video', 'Design', 'Visual', 'English', 'Teaching', 'C++', 'Website', 'Programming', 'Java', 'Content', 'Email', 'Ply', 'Training']"
3,"['Javascript', 'Analysis', 'Sql', 'C', 'Html', 'Engineering', 'Research', 'Technical', 'Design', 'Mathematics', 'System', 'Teaching', 'Perl', 'Experimental', 'C++', 'Python', 'Programming', 'Java', 'Email', 'Php', 'Testing', 'Fabric', 'Mobile', 'Presentation']['B. Tech & M. Tech in Computer Science & Engineering']"
4,"['Analysis', 'Sql', 'Linux', 'C', 'Html', 'Engineering', 'Research', 'Solaris', 'Ai', 'Architecture', 'Flex', 'Audio', 'Design', 'Windows', 'Modeling', 'English', 'System', 'Wxpython', 'Perl', 'Orange', 'Coding', 'Word', 'C++', 'Python', 'Distribution', 'Assembly', 'Plan', 'Programming', 'Experiments', 'Hotel', 'Java', 'Swig', 'Matlab', 'Php', 'Networkx', 'Hardware', 'Database', 'Computer science', 'Mysql', 'Nltk']['B. Tech Thesis', 'DEGREE']"
5,"['Technical', 'Testing', 'Design', 'Budget', 'Finance', 'Mathematics', 'Hardware', 'Programming', 'Database', 'Engineering', 'Cryptography', 'System', 'Computer science', 'Mobile', 'Email', 'Android']"
6,"['Testing', 'Design', 'Windows', 'English', 'Programming', 'Sports', 'Ibm', 'Research', 'Training', 'System', 'Requests', 'Lan', 'Computer science', 'Technical', 'Email', 'Audio', 'Statistics', 'Video', 'Protocols']['Degree/Examination']"
7,"['Security', 'Queries', 'Sql', 'Linux', 'C', 'Html', 'Engineering', 'Research', 'Windows', 'System', 'Oracle', 'Perl', 'C++', 'Policies', 'Inventory', 'Java', 'Warehouse', 'Ruby', 'Supply chain management', 'Computer science', 'German']['Degree / Certificate']['•  Converted the warehouse based service to zone based service so as to provide better scalability with', 'respect to addition of new warehouses and future company expansion policies', '•  The package has been deployed to the Production site and is being used by downstream teams', 'University of Karlsruhe, Germany', 'December,2008 & May-July, 2009', '•  Prepared a detailed report on 3-D Networks-On-Chips highlighting the necessity to mitigate on chip', 'temperature concerns and suggested a run time remapping algorithm incorporating system level adaptivity', '•  Based on the report, the team created new funded positions to initiate research in 3D chips', 'University of Karlsruhe, Germany', 'May-July, 2008', '•  Parallelized Motion JPEG,2000 Decoder for improved performance on multiprocessors', '•  Received  PhD offer and an internship during the subsequent winters']"
8,"['Security', 'Scheduling', 'Chemistry', 'Windows', 'Advertising', 'Plan', 'Mining', 'Programming', 'Pattern', 'Linux', 'Engineering', 'System', 'Algorithms', 'Marketing', 'Audit', 'Economics', 'Access', 'Mobile', 'Email']['B. Tech Hons, Computer  Engineering']"
9,"['C++', 'French', 'Python', 'Design', 'International', 'Analysis', 'Email', 'English', 'Supervisor', 'C', 'Machine learning', 'Engineering', 'Analyze', 'Training', 'Computer science', 'Opencv', 'Content', 'Matlab', 'Video']"
